CountryCode,AG.LND.TOTL.RU.K2,AG.LND.EL5M.RU.ZS,SP.RUR.TOTL,AG.LND.TOTL.UR.K2,AG.LND.EL5M.UR.ZS,SP.URB.TOTL
COD,0.020384008453364754,0.00037371655509234016,0.004450627417806002,0.002496815426474102,5.020307653527055e-05,0.0012224655412494886
COG,0.0030272324988825997,0.00019682129140607277,0.00024509458792472844,0.0002995503855780725,5.2782239392889644e-05,0.0001323676845624414
CRI,0.00041575998719279173,0.010189341999243123,0.0003336687967319471,0.001116344579699958,0.0010647355245405178,0.00017801315222717602
CIV,0.002815997849204566,0.002172692174564938,0.0011110361663966548,0.000955046422683771,0.0018096188711405246,0.0003663730276248875
HRV,0.00045636666635215145,0.014886902163380053,0.0007782471169623413,0.001461102166132107,0.008187344272324657,0.00044003023445209115
CUB,0.0008984404419667805,0.15110957893272184,0.0010216123022516814,0.0026375375753784976,0.006924382315551662,0.0013039647338799149
CUW,0.03855609279622606,0.05462396786353767,9.202829377056337e-06,0.03395709864256635,0.03374805978502711,2.79538821379242e-05
CYP,6.216206901182487e-05,0.014319043337045933,0.00010724036952773321,0.0006283285298978338,0.03897408306638855,6.186678949055775e-05
CZE,0.03855609279622606,0.05462396786353767,0.0010353038489773275,0.03395709864256635,0.03374805978502711,0.0015762500722377854
DNK,0.00029557590947623707,0.2102719194291399,0.00029463981978833885,0.0025611395013872516,0.1262746577512568,0.0009756415150193226
DJI,0.0001915224076565699,0.011691532742125851,1.8003842583966147e-05,4.12829854473659e-05,0.00330210861742948,2.4251032567053884e-05
DMA,4.501366558459179e-06,0.009335477456071805,1.2856937367830839e-05,6.924258235484216e-05,0.014307856546944199,6.586016575120262e-06
DOM,0.00038270094665547843,0.029564803599505304,0.0007943265492101357,0.001402297657177415,0.00498980544113064,0.00044936955011799806
ECU,0.00218667905405439,0.02317776292997907,0.0010878420507720221,0.0030048810375293417,0.01013354164058831,0.0005920280873337106
EGY,0.008509113159683427,0.024242155178946737,0.006050882441855629,0.006687281547978538,0.012659595448292189,0.00360927837349623
SLV,0.00014624628914074867,0.012935659757451633,0.0006558557406548393,0.000991446616217159,0.003352526447596281,0.00035869617023935726
GNQ,0.0002397303782838129,0.004290240030564345,6.60539170684998e-05,2.685657470003547e-05,0.0006442874738841768,2.027429330488328e-05
ERI,0.001093433174690153,0.02168090620766007,0.0004672242901544893,0.00010101498860111115,0.00046274405212642136,5.641680676647904e-05
EST,0.0003622565831824171,0.030925485671177897,0.0001406495254543655,0.0007204344132652343,0.004604061294758987,0.00021910157219042113
ETH,0.009999572359249394,0.0,0.007663062142555273,0.001423607436831246,0.0,0.0006057151224964232
FRO,1.2339188505231317e-05,0.12148432620241163,8.30744606105435e-06,9.243509866727981e-05,0.044420428148858035,2.4717116837743504e-06
FJI,0.00015384501616133925,0.04474051491646347,0.00010018970532044113,0.0004812445389114358,0.02798308889679688,4.46852397080182e-05
FIN,0.002591065860295457,0.007379889359451543,0.0004932440998155856,0.005525061718803974,0.005362089426808314,0.0007284105031100623
FRA,0.004096756748813296,0.019010306712566517,0.004443449010278832,0.02382353957028835,0.026468981619037997,0.009180784190579664
PYF,3.38724768744397e-05,0.36074802860442173,1.4616431963098005e-05,6.561848811265993e-05,0.0014611831349589783,1.4894086649032479e-05
GAB,0.002338060210577099,0.0055625901244731255,0.00011838531039383109,0.00023047973475401307,0.0007101561743951264,4.665014372185248e-05
GMB,9.357732268193203e-05,0.291673688509604,0.00010623110879493493,0.00012293870006493577,0.030931607911646352,2.141281029002547e-05
GEO,0.000580641098237247,0.020467777079871977,0.0006319609543957734,0.0009926847714841797,0.0069141434151789825,0.0004908731501028697
DEU,0.002610681726335254,0.06444096750930023,0.006394015454988678,0.017186231441694753,0.04002789684111863,0.014028491429518149
GHA,0.0020099187839391114,0.00919235347381625,0.0018018207069520065,0.0017191795942338242,0.0024511163138808594,0.0006179388467336303
GIB,1.5934214345584705e-08,0.27406419403819454,0.0,1.232629046082136e-06,0.6170509692763432,6.85096698365826e-06
GRC,0.001007683993136184,0.04141420617364556,0.0009281499200794423,0.005102664941946416,0.034352667391146396,0.0014019204011354947
GRL,0.0021704112806298684,0.183875044882831,3.731108005758527e-06,9.188626045844974e-06,0.00017663870312712026,8.1404585221192e-06
GRD,1.3688259587132475e-06,0.024576163180366907,1.888388490081423e-05,4.670736518810567e-05,0.021089573927797218,7.312084986146604e-06
GUM,2.9177828316215535e-07,0.01543272107755163,9.422913711071982e-06,0.00014216374271898587,0.032532584313757024,1.2655789570718033e-05
GTM,0.0009264163355151563,0.006740760371247679,0.001069009794233745,0.0011386044685817434,0.0009116362301092474,0.000495955380666644
GIN,0.00217749210075226,0.01646753300422865,0.001046013341482826,0.00040602616338077747,0.001387714831481929,0.00016717029886333327
