CountryCode,EN.BIR.THRD.NO,EN.MAM.THRD.NO,ER.MRN.PTMR.ZS,EN.HPT.THRD.NO,ER.LND.PTLD.ZS
IND,0.01912132938766219,0.02701115678214915,0.014955134596211367,0.025770456960680126,0.08682027649769586
IDN,0.02982016844980651,0.0551967116852613,0.0039880358923230315,0.02836078639744952,0.18580645161290324
IRN,0.005918506715228773,0.005578391074574281,0.014955134596211367,0.00019925611052072262,0.10267281105990785
IRQ,0.004325062599590257,0.004110393423370522,0.0,6.641870350690754e-05,0.0009216589861751152
IRL,0.0015934441156385158,0.001467997651203758,0.004985044865403789,6.641870350690754e-05,0.003870967741935484
IMN,0.0,0.0002935995302407516,0.02567111434553914,0.0,0.14904349978940365
ISR,0.003869792852264967,0.004403992953611274,0.0009970089730807579,0.000597768331562168,0.22156682027649768
ITA,0.0031868882312770315,0.002348796241926013,0.005982053838484546,0.004715727948990436,0.10654377880184332
JAM,0.0022763487366264513,0.0017615971814445098,0.0,0.014213602550478214,0.18156682027649768
JPN,0.009560664693831095,0.008220786846741044,0.049850448654037885,0.002922422954303932,0.33345622119815665
JOR,0.0029592533576143867,0.003816793893129771,0.0,0.00033209351753453773,0.01935483870967742
KAZ,0.005918506715228773,0.004697592483852026,0.0,0.0010626992561105207,0.044423963133640554
KEN,0.008877760072843159,0.008807985907222548,0.036889332003988036,0.014744952178533475,0.21087557603686635
KIR,0.0011381743683132257,0.0002935995302407516,0.002991026919242273,0.0,0.10451612903225806
PRK,0.006146141588891418,0.002935995302407516,0.0009970089730807579,0.0011291179596174283,0.04294930875576037
KOR,0.0068290462098793536,0.0032295948326482677,0.03290129611166501,0.0020589798087141337,0.09474654377880183
XKX,0.03980419951851773,0.0420492357515259,0.02567111434553914,0.041331302531156536,0.14904349978940365
KWT,0.002503983610289096,0.0017615971814445098,0.0,0.0,0.036682027649769584
KGZ,0.003642157978602322,0.001467997651203758,0.0,0.0009298618490967056,0.11576036866359447
LAO,0.005463236967903483,0.013211978860833822,0.0,0.0027231668437832095,0.027096774193548386
LVA,0.002048713862963806,0.0002935995302407516,0.0,0.0,0.12073732718894009
LBN,0.0027316184839517414,0.002935995302407516,0.0,0.0006641870350690755,0.008847926267281106
LSO,0.0015934441156385158,0.0008807985907222549,0.0,0.00026567481402763017,0.009216589861751152
LBR,0.0029592533576143867,0.0064591896652965355,0.0,0.0034537725823591925,0.030046082949308755
LBY,0.0013658092419758707,0.0032295948326482677,0.0,0.00019925611052072262,0.0018433179723502304
LIE,0.00045526974732529026,0.0,0.0,0.0,0.7415668202764977
LTU,0.002048713862963806,0.0005871990604815032,0.0019940179461615157,6.641870350690754e-05,0.03649769585253456
LUX,0.0006829046209879354,0.0,0.0,0.0,0.2223041474654378
MAC,0.0009105394946505805,0.0,0.0,0.0,0.0
MKD,0.0031868882312770315,0.0017615971814445098,0.0,0.0,0.15059907834101383
MDG,0.00796722057819258,0.03523194362889019,0.0,0.04031615302869288,0.043502304147465434
MWI,0.004097427725927612,0.002935995302407516,0.0,0.001594048884165781,0.27705069124423964
MYS,0.011381743683132255,0.021432765707574866,0.014955134596211367,0.04788788522848034,0.31631336405529953
MDV,0.0,0.0005871990604815032,0.0,0.0,0.0012903225806451615
MLI,0.003642157978602322,0.0035231943628890195,0.0,0.0005313496280552603,0.0704147465437788
