CountryCode,EN.ATM.CO2E.KT,EN.ATM.METH.EG.ZS,EN.ATM.HFCG.KT.CE,EN.ATM.METH.KT.CE,EN.ATM.NOXE.KT.CE,EN.ATM.GHGO.KT.CE,EN.ATM.PFCG.KT.CE,EN.ATM.PM25.MC.M3,EN.ATM.SF6G.KT.CE,EN.ATM.GHGT.KT.CE
AGO,0.0008039574636182104,0.651274200469904,3.7154868359834624e-05,0.0023212185545025033,0.0011319462586800114,7.061644844273546e-05,0.0,0.20825565067298824,0.0,0.0007478179085170394
ATG,1.4408930939516076e-05,0.027850840727365198,0.030104983504620035,5.293804296914013e-06,8.039426227230717e-06,1.2662610458732413e-06,0.03358187114396422,0.07531643580939576,0.0334466436583965,1.002012955621164e-05
ARG,0.0051998990563063485,0.181562249799675,0.0006064633351637522,0.010823668524880356,0.016507422640194377,0.004941980648106297,0.0017043508690893839,0.0829453508159097,0.0025385153157840385,0.006813151276938161
ARM,0.00011659057499650685,0.5119613279387898,0.000677177439461502,0.0004153596647068965,0.00031259181957596073,9.158681562218455e-05,0.0,0.17089382728919333,0.0,0.0002128219902705844
ABW,6.930492839217946e-05,0.05545971322006041,0.030104983504620035,2.8375980939220245e-06,2.017140284046856e-06,2.6332425952042196e-17,0.03358187114396422,0.18077199690131263,0.0334466436583965,7.908605593892709e-06
AUS,0.010815627682965772,0.3121583097500743,0.009578764771993493,0.015294856744269008,0.01631771152586764,0.022543964367003223,0.007211693602788661,0.019867054731421637,0.002812949403976908,0.014611531283058208
AUT,0.0018677830408709328,0.22155815537490278,0.0033978726387139083,0.0010470951214855185,0.0011918084704028008,0.00041937636472547276,0.0030016925754111534,0.08936025635294775,0.0010462799612353134,0.0017593385528369288
AZE,0.0008488077979510704,0.46016881227275314,0.00010307479609502508,0.002296025352219246,0.0008391876057038983,0.00014738839706427713,0.002505650158288124,0.1725576008249715,0.0,0.0009476295387704179
BHS,4.566210509001574e-05,0.04783198717817503,0.030104983504620035,2.7723877545796275e-05,4.0700897696218115e-05,1.6510701620688093e-06,0.03358187114396422,0.06709668955304508,0.0334466436583965,8.535789083735491e-05
BHR,0.0008097413302629458,0.8956710757498068,0.0,0.0004133082717126581,4.0803420334685876e-05,4.13051513426375e-05,0.004070091627676141,0.477310644826496,0.0,0.000577669382807905
BGD,0.0016584476568693716,0.10352036386206535,0.0,0.012862383810589925,0.008294789182624206,0.00017151576859223845,0.0,0.5968120735296468,0.0,0.00331618295524911
BRB,4.079148054708073e-05,0.09945834674986827,0.030104983504620035,1.3381845430724633e-05,1.8241264270043776e-05,2.6335292072670707e-17,0.03358187114396422,0.08693298455374755,0.0334466436583965,2.875502893024327e-05
BLR,0.0017443938857832457,0.06856570115430777,0.0006184487765701505,0.002051081042749048,0.004272166509949743,7.138345928749953e-05,0.0002925378357392226,0.1281757982697059,0.0,0.0020214937154002088
BEL,0.0030665655065008125,0.13029004907066902,0.003184531781680019,0.0012019303715360484,0.0032119369502400883,0.0003587739629899845,0.00033069494474868643,0.09840438138260238,0.0005317160458736838,0.0025786938755687555
BLZ,1.4814816318093995e-05,0.13536943605552787,0.030104983504620035,2.7952226036030845e-05,6.224028477403652e-05,2.116889006311494e-05,0.03358187114396422,0.1336124324675305,0.0334466436583965,2.7975276579236404e-05
BEN,0.00014074075502189297,0.20694148172144283,0.0,0.0008542017897292269,0.001512862585228704,0.0022528087699456145,0.0,0.29794158094123585,0.0,0.0006170491167816686
BMU,1.6742771866339104e-05,0.04380187907070902,0.030104983504620035,3.7874529449403854e-06,6.484050659128275e-06,2.6330706279665087e-17,0.03358187114396422,0.045441468581428425,0.0334466436583965,1.1082144516351907e-05
BTN,1.3394217493071285e-05,0.4083104522274589,0.030104983504620035,0.00021649183802577909,0.00017253881812317307,6.305011918835745e-05,0.03358187114396422,0.353096715504299,0.0334466436583965,6.0137445213828115e-05
BOL,0.0004205987235513672,0.24347804653088792,0.0,0.002841990370892657,0.003025538408220506,0.007418908587664998,0.0,0.19119113821582936,0.0,0.001922401653841477
BIH,0.0005886352702826252,0.4557007720614751,0.000904900826183069,0.0003841495420962567,0.00034933286637028627,0.00011576837434560317,0.001653474723743432,0.2622060383789054,0.0,0.0004786033277388067
BWA,0.00012957890711100023,0.10336086686216464,0.0,0.0005441619390647277,0.0006927846881964437,0.009077516939827475,0.0,0.11899356013563991,0.0,0.0015254330704743432
BRA,0.011615120407419627,0.07794768021030987,0.003998343253174461,0.055313865512345725,0.06585059540517994,0.23442351408704987,0.07317261604381511,0.05793524316666837,0.008759021314822405,0.05422084244366676
VGB,4.6676818536460536e-06,0.018150337494771327,0.030104983504620035,2.38292255910414e-06,2.3610383693232948e-06,2.6308006604287273e-17,0.03358187114396422,0.18077199690131263,0.0334466436583965,1.3348882056206966e-06
BRN,0.000226889926625056,0.8707020513184855,0.0005117783480532059,0.0005553185721313249,0.00010643186697386662,5.5116561322828055e-05,0.0,0.023146011004775577,0.0,0.00026383539221398977
BGR,0.001220598804728443,0.11388291594885908,0.0007766566031346076,0.0014987023014537487,0.00142026783409099,9.20917065580481e-05,0.0002289426540567829,0.177910890717727,0.0,0.0012693544370752173
BFA,5.418569804015202e-05,0.16596312829733803,0.030104983504620035,0.0018297701781151492,0.0022899900825692193,0.0026517907161956464,0.03358187114396422,0.4353414731256049,0.0334466436583965,0.0008108993656989079
BDI,5.7838666447353274e-06,0.5271300168348934,0.030104983504620035,0.0003326089170189947,0.0002454242555128794,6.299035579750783e-05,0.03358187114396422,0.2778789652040067,0.0334466436583965,0.00011283269816415861
CPV,1.5322173041316393e-05,0.03224004737779658,0.030104983504620035,1.8531914959386622e-05,2.533115196649921e-05,2.6335292072670707e-17,0.03358187114396422,0.23662831827859915,0.0334466436583965,6.749793207822484e-06
KHM,0.0001386098567843589,0.056777967298655224,0.0,0.004393612123006777,0.005186918116704179,0.009461461229416851,0.0,0.1623261901257307,0.0,0.0023590408642119158
CMR,0.00018751904490299796,0.16428633337714801,0.0,0.0022651795889482157,0.004321127704792307,0.007908865129747067,0.004489819826780242,0.521547327526507,0.0,0.0018649115705189024
CAN,0.01479502940588832,0.4453190307867223,0.025860986922585538,0.013043190893841232,0.01046684382738554,0.009459099091074417,0.053534423940277735,0.0302348499435918,0.023155376191273325,0.014275901575078867
CYM,1.5322173041316393e-05,0.03125060132121908,0.030104983504620035,3.5137716642674433e-06,4.3107771450313714e-06,2.6333916334769022e-17,0.03358187114396422,0.18077199690131263,0.0334466436583965,5.528696936725542e-06
CAF,7.20446546975804e-06,0.015709512584472816,0.030104983504620035,0.010481183223707224,0.03128916221141455,0.04236540294613658,0.03358187114396422,0.32408155005602557,0.0334466436583965,0.009554951694410166
TCD,1.4205988250227119e-05,0.12765944590492248,0.030104983504620035,0.0022465248898826044,0.004620360126674927,0.009855034782413011,0.03358187114396422,0.4010538131491505,0.0334466436583965,0.0020387911549466778
CHI,0.030875270618555058,0.255375255449984,0.030104983504620035,0.03863060306696951,0.03888700002154379,0.040511951510567,0.03358187114396422,0.18077199690131263,0.0334466436583965,0.03375753503199711
CHL,0.0019991884321855337,0.24804787753037835,0.0,0.002248558813593437,0.0027820004513003363,0.0002244996933198051,0.0,0.13616286988805565,4.573901469881151e-05,0.0021350911292480922
