CountryCode,SH.DTH.COMM.ZS,SH.MLR.INCD.P3,SH.TBS.INCD,SP.DYN.LE00.IN
KIR,0.447741935483871,0.05543812200639853,0.2886996904024768,0.37986119678944247
PRK,0.3909677419354839,0.012406662837449742,0.14473684210526316,0.4127799380700242
KOR,0.06580645161290322,0.0016082711085582998,0.03869969040247678,0.4468207179839373
XKX,0.3237034303778456,0.05543812200639853,0.09804244066047473,0.7076487574748657
KWT,0.10193548387096775,0.05543812200639853,0.023993808049535603,0.5797816489524616
KGZ,0.20516129032258065,0.003848363009764503,0.18885448916408668,0.5021146610459764
LAO,0.655483870967742,0.04451464675473866,0.25541795665634676,0.27353628097469485
LVA,0.023225806451612905,0.05543812200639853,0.09442724458204334,0.74369548880938
LBN,0.06709677419354838,0.05543812200639853,0.015479876160990712,0.6286121145661406
LSO,0.8516129032258064,0.05543812200639853,0.7678018575851393,0.33184087671724555
LBR,0.9716129032258064,0.28535324526134404,0.18575851393188855,0.12458985842728203
LBY,0.16516129032258065,0.05543812200639853,0.030959752321981424,0.26357382030644
LIE,0.3237034303778456,0.05543812200639853,0.09804244066047473,0.86821114860347
LTU,0.01935483870967742,0.05543812200639853,0.07894736842105263,0.7447653295670333
LUX,0.04,0.05543812200639853,0.009287925696594427,0.7199872999548763
MAC,0.3237034303778456,0.05543812200639853,0.09287925696594428,0.6529988758044298
MKD,0.025806451612903226,0.05543812200639853,0.02786377708978328,0.5816124570877386
MDG,0.7858064516129032,0.0662263067202757,0.22678018575851394,0.21641152977737882
MWI,0.992258064516129,0.24813325674899483,0.30340557275541796,0.17748183643342763
MYS,0.27483870967741936,0.00936243538196439,0.05727554179566564,0.5613174053600742
MDV,0.27225806451612905,0.05543812200639853,0.0456656346749226,0.16934802696343856
MLI,0.9058064516129031,0.2738655944859276,0.05959752321981424,0.008359425081381914
MLT,0.0864516129032258,0.05543812200639853,0.0037151702786377707,0.7226209200457957
MHL,0.3237034303778456,0.05543812200639853,0.06269349845201239,0.6632589937802565
MRT,0.8116129032258065,0.06329695577254452,0.19349845201238391,0.2784644506583402
MUS,0.08258064516129032,0.05543812200639853,0.018575851393188854,0.5484038234728236
MEX,0.20516129032258065,0.0022975301550832855,0.02244582043343653,0.5186971927896191
FSM,0.3561290322580645,0.05543812200639853,0.08204334365325078,0.527911196314917
MDA,0.052903225806451605,0.05543812200639853,0.11455108359133127,0.6026594170575761
MCO,0.3237034303778456,0.05543812200639853,0.0,0.4477053189829093
MNG,0.20516129032258065,0.05543812200639853,0.33126934984520123,0.36487738675865033
MNE,0.01935483870967742,0.05543812200639853,0.02244582043343653,0.6361376677989157
MAR,0.27741935483870966,0.05543812200639853,0.0913312693498452,0.36625394395932603
