CountryCode,ER.H2O.FWTL.ZS,SH.H2O.SAFE.ZS,SH.H2O.BASW.ZS,ER.H2O.INTR.PC,ER.GDP.FWTL.M3.KD
GRD,0.0007867146704615839,0.9608294930875575,0.9335763348603658,0.003577070194409135,0.03970550071038311
GUM,0.011442531644953947,0.9953917050691243,0.9942713240796274,0.024364617139691177,0.03212150030497252
GTM,0.0003383595225840503,0.8536866359447004,0.8593366334671743,0.01349041388377809,0.009262834972859107
GIN,2.5081455829286903e-05,0.6290322580645161,0.5043856618937018,0.037793271738761215,0.005970436114852868
GNB,0.0001200930909563153,0.5472350230414746,0.49913376985666896,0.01842641881679005,0.0032052324349249404
GUY,6.478631045763722e-05,0.8870967741935484,0.884694983919164,0.6037279613189468,0.000766268395404271
HTI,0.0012450562892857672,0.5460829493087559,0.5134589699665842,0.002385431614626329,0.0029308320208987454
HND,0.00019606492977430353,0.8214285714285714,0.8285686716486647,0.020108520415179906,0.007172617475692623
HKG,0.011442531644953947,0.7777432493169902,0.9899503686122846,0.024364617139691177,0.03212150030497252
HUN,0.009419452466755062,0.9907834101382489,0.9995960158055787,0.0011410257241917295,0.016905522511417984
ISL,0.00023277810161202373,1.0,1.0,1.0,0.002175763935392671
IND,0.005887782923429983,0.8329493087557603,0.7943642480468195,0.0021598023257348646,0.0012487635898279714
IDN,0.0006257393620568577,0.7845622119815667,0.757242806531378,0.015304261804091604,0.005180196092738943
IRN,0.008123833408171584,0.9435483870967741,0.9426521709916098,0.0031708598044858168,0.0029399168942749543
IRQ,0.02098262048733054,0.8018433179723502,0.7464295916443754,0.0020260532331786278,0.0014576780521569877
IRL,0.00017058542508292124,0.9642857142857143,0.9650534212473938,0.020153421929516822,0.19327574073257173
IMN,0.011442531644953947,0.7777432493169902,0.9550829545595859,0.024364617139691177,0.03212150030497252
ISR,0.029156487605601474,1.0,1.0,0.00017886651026000422,0.0924429570373696
ITA,0.0032939454198906426,1.0,1.0,0.0057826619972602316,0.02549952472153466
JAM,0.0008375957142646761,0.9262672811059908,0.8985358866091246,0.007185036113317835,0.010745422528380127
JPN,0.0021176478593828156,1.0,0.9822109577470304,0.006356101070520104,0.04714338644425431
JOR,0.015438329715214628,0.9631336405529953,0.990875698696466,0.00016097909013927853,0.020615770506211856
KAZ,0.003674420623113119,0.9251152073732719,0.8544951158731089,0.0072299068615992584,0.004889822887081757
KEN,0.0017375723562213323,0.4930875576036866,0.40663371853408375,0.0008947286493022102,0.008848924873895313
KIR,0.011442531644953947,0.5645161290322581,0.5466169320073729,0.024364617139691177,0.03212150030497252
PRK,0.001443950448648546,0.9976958525345622,0.9977303025027789,0.005085686906766013,0.03212150030497252
KOR,0.005037086625870633,0.9550691244239631,0.9823150115168335,0.002437133056474701,0.027930925030975173
XKX,0.011442531644953947,0.7777432493169902,0.7911033729066579,0.024364617139691177,0.03212150030497252
KWT,0.011442531644953947,0.988479262672811,1.0,0.0,0.10023347221460378
KGZ,0.001829156231324309,0.7960829493087557,0.7877525774625791,0.016462692798334892,9.855879170860281e-05
LAO,0.00020300417562412056,0.5023041474654377,0.49644419991136907,0.05599258881566476,0.0014634985588084662
LVA,0.00016959062545267105,0.9838709677419354,0.9750379835249489,0.01570963360104636,0.06729320688029064
LBN,0.0030521554772028224,0.9043778801843319,0.8520672243505848,0.0018418971647235019,0.020420816420075517
LSO,9.141099863541562e-05,0.7684331797235023,0.617399341234538,0.004721087717741799,0.04281572144032897
LBR,5.000490530839033e-06,0.6175115207373272,0.5738559677256189,0.0902325138175534,0.008078379750164556
LBY,0.09321078383111832,0.6682027649769585,0.9609681410037507,0.00021305910372198953,0.03212150030497252
LIE,0.011442531644953947,0.7777432493169902,1.0,0.024364617139691177,0.03212150030497252
LTU,0.0004547707522562013,0.9193548387096774,0.9114294418187533,0.009761882965319367,0.04298345642660929
LUX,0.0004957235087887699,1.0,0.9991952231165112,0.003553213897236916,0.8182384883464802
MAC,0.011442531644953947,0.7777432493169902,1.0,0.024364617139691177,0.03212150030497252
MKD,0.0011400906894445944,0.9919354838709677,0.9686327832471049,0.0049118961347655934,0.012033440260477543
MDG,0.0005456556260650852,0.3329493087557604,0.28925807972370776,0.02845055060041432,0.0
MWI,0.0009386660889568739,0.6751152073732718,0.48143190411932935,0.0018915684552750377,0.003690591330090011
MYS,0.0002138017002980661,0.9504608294930876,0.9705421876232065,0.03751081331782287,0.01841257816224739
MDV,0.002198767935758512,0.9642857142857143,0.9317896418816307,0.00014700504201680656,0.2935940499873418
MLI,0.0009650400233841542,0.5011520737327189,0.49180864717021255,0.007071669644775651,0.0011552898037339796
MLT,0.008840443586988348,1.0,1.0,0.00022713167716932427,0.152280606979927
MHL,0.011442531644953947,0.9274193548387097,0.74730553948619,0.024364617139691177,0.03212150030497252
MRT,0.03777057212230058,0.40437788018433174,0.5127754502601715,0.00019701796215665403,0.002283304340255102
MUS,0.002947218065962174,0.9942396313364056,0.9939992109098492,0.004132505685950076,0.010286788973962437
MEX,0.002195028158431508,0.9009216589861752,0.9095302928863911,0.006385961898033392,0.00910030887084489
FSM,0.011442531644953947,0.881336405529954,0.8899178475827396,0.024364617139691177,0.03212150030497252
