CountryCode,IndicatorCode,1960,1970,1980,1990,2000,2005,2010,2011,2012,2013,2014,2015,2016
GAB,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
GMB,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
GMB,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
GEO,EN.CLC.DRSK.XQ,,,,,,,,2.75,,,,,
GEO,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
DEU,EN.CLC.DRSK.XQ,,,,,,,,4.25,,,,,
DEU,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
GHA,EN.CLC.DRSK.XQ,,,,,,,,3.25,,,,,
GHA,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
GIB,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
GIB,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
GRC,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
GRC,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
GRL,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
GRL,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
GRD,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
GRD,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
GUM,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
GUM,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
GTM,EN.CLC.DRSK.XQ,,,,,,,,3.25,,,,,
GTM,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
GIN,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
GIN,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
GNB,EN.CLC.DRSK.XQ,,,,,,,,1.0,,,,,
GNB,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
GUY,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
GUY,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
HTI,EN.CLC.DRSK.XQ,,,,,,,,,,,,,
HTI,EN.CLC.MDAT.ZS,,,,,,,,,,,,,
